opportunity_type,seed,decision_index,channel,current_x_m,current_y_m,action_x_m,action_y_m,next_coverage_x_m,next_coverage_y_m,current_certificate_radius_m,candidate_expected_radius_m,clear_threshold_m,route_insertion_delta_m,action_score_s,search_score_s,search_minus_action_s,chosen_kind,chosen_channel,chosen_source,route_compatible,search_chosen
CLEAR,321100,9,9,-410.42417199080245,1127.63114494309,1038.0,17.0,771.3451316238472,919.2533317427736,18.384776320850236,,19.75,1566.0542171969873,1044.4038215267053,731.1929780873079,-313.2108434393974,SEARCH,,coverage_next,False,True
CLEAR,321100,9,12,-410.42417199080245,1127.63114494309,-935.0,1335.0,771.3451316238472,919.2533317427736,15.811388310841897,,19.75,1120.3387117557854,955.260720438465,731.1929780873079,-224.0677423511571,SEARCH,,coverage_next,False,True
CLEAR,321100,9,16,-410.42417199080245,1127.63114494309,-1097.5,-265.0,771.3451316238472,919.2533317427736,16.007810603582122,,19.75,2565.372099929795,1244.2673980732668,731.1929780873079,-513.0744199859589,SEARCH,,coverage_next,False,True
EXPECTED_CLEARABLE_LOCALIZE,321101,4,7,-1039.2304845413266,-599.9999999999997,-655.0,-1375.0,-1039.2304845413262,600.0000000000005,26.92582404567252,19.51255313483643,19.75,1677.0474586862465,2155.87465615126,1824.7732962613181,-331.1013598899417,SEARCH,,coverage_next,False,True
EXPECTED_CLEARABLE_LOCALIZE,321102,3,12,-410.42417199080325,-1127.6311449430898,-4.5,-472.5,-1181.7693036146497,-208.37781320031604,23.16246965380094,16.389311553706776,19.75,777.2289923109261,2197.7208345436943,2046.981031226117,-150.7398033175773,SEARCH,,coverage_next,False,True
CLEAR,321102,6,14,410.42417199080256,1127.63114494309,-67.5,-5.0,1181.7693036146495,208.3778132003164,13.46291202783626,,19.75,1296.6961069066895,1045.310533977053,785.9713125957151,-259.3392213813379,SEARCH,,coverage_next,False,True
CLEAR,321103,4,4,-919.2533317427736,-771.3451316238471,-530.0,-71.5,-1127.63114494309,410.4241719908027,17.240939659566667,,19.75,368.54589658588293,1684.6754368060174,1610.9662574888407,-73.70917931717668,SEARCH,,coverage_next,False,True
CLEAR,321103,4,16,-919.2533317427736,-771.3451316238471,202.5,-991.7857142857143,-1127.63114494309,410.4241719908027,18.38505383319112,,19.75,1875.9370351813304,1986.1536645251067,1610.9662574888407,-375.187407036266,SEARCH,,coverage_next,False,True
CLEAR,321103,4,17,-919.2533317427736,-771.3451316238471,-241.875,-897.8125,-1127.63114494309,410.4241719908027,18.341913248536486,,19.75,1068.9713445030038,1824.7605263894416,1610.9662574888407,-213.79426890060085,SEARCH,,coverage_next,False,True
CLEAR,321103,5,4,-1127.63114494309,410.4241719908027,-530.0,-71.5,-208.3778132003161,1181.7693036146497,17.240939659566667,,19.75,861.6126955784628,1283.7506395248379,1111.4281004091454,-172.3225391156925,SEARCH,,coverage_next,False,True
EXPECTED_CLEARABLE_LOCALIZE,321103,5,10,-1127.63114494309,410.4241719908027,-622.7720892682954,33.914186210170804,-208.3778132003161,1181.7693036146497,23.04886115323222,18.09140233697775,19.75,650.1618834940682,1237.7726593234415,1111.4281004091454,-126.34455891429616,SEARCH,,coverage_next,False,True
CLEAR,321103,5,15,-1127.63114494309,410.4241719908027,-55.0,152.5,-208.3778132003161,1181.7693036146497,16.007810603582122,,19.75,943.8399819305503,1300.1960967952552,1111.4281004091454,-188.76799638610987,SEARCH,,coverage_next,False,True
CLEAR,321103,5,16,-1127.63114494309,410.4241719908027,202.5,-991.7857142857143,-208.3778132003161,1181.7693036146497,18.38505383319112,,19.75,2944.77828506313,1700.3837574217714,1111.4281004091454,-588.955657012626,SEARCH,,coverage_next,False,True
CLEAR,321103,5,17,-1127.63114494309,410.4241719908027,-241.875,-897.8125,-208.3778132003161,1181.7693036146497,18.341913248536486,,19.75,2459.739897628371,1603.3760799348197,1111.4281004091454,-491.9479795256743,SEARCH,,coverage_next,False,True
CLEAR,321103,6,4,-208.3778132003161,1181.7693036146497,-527.5,-69.5,919.2533317427736,771.3451316238471,16.32482772731451,,19.75,1764.6771521176263,1188.4173088359453,835.4818784124202,-352.9354304235251,SEARCH,,coverage_next,False,True
CLEAR,321103,6,15,-208.3778132003161,1181.7693036146497,-55.0,152.5,919.2533317427736,771.3451316238471,16.007810603582122,,19.75,994.817643932455,1034.4454071989112,835.4818784124202,-198.963528786491,SEARCH,,coverage_next,False,True
CLEAR,321103,6,16,-208.3778132003161,1181.7693036146497,202.5,-991.7857142857143,919.2533317427736,771.3451316238471,18.38505383319112,,19.75,2915.300629079805,1418.5420042283813,835.4818784124202,-583.0601258159611,SEARCH,,coverage_next,False,True
CLEAR,321103,6,17,-208.3778132003161,1181.7693036146497,-241.875,-897.8125,919.2533317427736,771.3451316238471,18.341913248536486,,19.75,2913.150905688075,1418.1120595500356,835.4818784124202,-582.6301811376154,SEARCH,,coverage_next,False,True
CLEAR,321103,6,18,-208.3778132003161,1181.7693036146497,61.666666666666664,740.0,919.2533317427736,771.3451316238471,15.36590743882148,,19.75,175.92773426734607,870.6674252658895,835.4818784124202,-35.185546853469305,SEARCH,,coverage_next,True,True
EXPECTED_CLEARABLE_LOCALIZE,321105,4,13,-599.9999999999998,1039.2304845413264,21.5,585.0,-1200.0,1.4695761589768238e-13,21.02974085481309,16.488705018391567,19.75,924.1557171805152,2026.7104815485113,1845.2440966491786,-181.46638489933275,SEARCH,,coverage_next,False,True
CLEAR,321106,3,12,771.3451316238472,919.2533317427736,817.5,562.5,-410.42417199080245,1127.63114494309,14.577379747113252,,19.75,511.4554656257967,2934.55617913472,2832.265086009561,-102.29109312515902,LOCALIZE,13,mec_center,False,False
CLEAR,321106,4,12,627.5,897.5,817.5,562.5,-410.42417199080245,1127.63114494309,14.577379747113252,,19.75,673.728013586001,2918.435593715233,2783.689990998033,-134.7456027172002,SEARCH,,coverage_next,False,True
CLEAR,321106,5,12,-410.42417199080245,1127.63114494309,817.5,562.5,-1181.7693036146495,208.37781320031684,14.577379747113252,,19.75,2182.1180788419283,2544.6670469641513,2108.243431195766,-436.4236157683854,SEARCH,,coverage_next,False,True
CLEAR,321106,6,12,-1181.7693036146495,208.37781320031684,817.5,562.5,-771.3451316238474,-919.2533317427735,14.577379747113252,,19.75,3002.9503048400156,2189.0580221683904,1588.4679612003874,-600.590060968003,SEARCH,,coverage_next,False,True
EXPECTED_CLEARABLE_LOCALIZE,321106,7,5,-771.3451316238474,-919.2533317427735,-477.49999999999994,-195.00000000000003,410.42417199080177,-1127.6311449430902,22.3606797849979,16.049802659096326,19.75,869.308252065143,1320.4708093592806,1150.1868677118514,-170.28394164742917,SEARCH,,coverage_next,False,True
CLEAR,321106,7,12,-771.3451316238474,-919.2533317427735,817.5,562.5,410.42417199080177,-1127.6311449430902,14.577379747113252,,19.75,2711.0242319106137,1692.3917140939743,1150.1868677118514,-542.2048463821229,SEARCH,,coverage_next,False,True
CLEAR,321106,8,12,410.42417199080177,-1127.6311449430902,817.5,562.5,1181.7693036146495,-208.37781320031647,14.577379747113252,,19.75,1391.0736565843067,1092.3204645014291,814.1057331845678,-278.2147313168613,SEARCH,,coverage_next,False,True
EXPECTED_CLEARABLE_LOCALIZE,321107,2,3,919.2533317427736,771.3451316238471,273.2317073170732,-256.5243902439024,-208.3778132003161,1181.7693036146497,28.50438563747845,18.123748150226643,19.75,1530.811148057048,3456.172102278026,3154.5705743686126,-301.60152790941356,SEARCH,,coverage_next,False,True
EXPECTED_CLEARABLE_LOCALIZE,321107,2,17,919.2533317427736,771.3451316238471,408.48612181134,-30.0,-208.3778132003161,1181.7693036146497,29.261749786799065,19.389691110341747,19.75,1110.0274892754544,3371.8941922578156,3154.5705743686126,-217.32361788920298,SEARCH,,coverage_next,False,True
EXPECTED_CLEARABLE_LOCALIZE,321107,3,17,-208.3778132003161,1181.7693036146497,395.13157894736844,-29.736842105263158,-1127.63114494309,410.4241719908027,29.261749786799065,18.452390884418772,19.75,1738.60503113967,3216.2273736826223,2873.188247420576,-343.03912626204647,SEARCH,,coverage_next,False,True
CLEAR,321107,5,3,-919.2533317427736,-771.3451316238471,276.2931034482759,-265.94827586206895,208.37781320031596,-1181.7693036146497,19.629823349199487,,19.75,1016.3177954289308,1478.6802637188366,1275.4167046330504,-203.26355908578626,SEARCH,,coverage_next,False,True
CLEAR,321107,6,3,208.37781320031596,-1181.7693036146497,280.0,-265.0,1127.63114494309,-410.42417199080234,18.027756387319947,,19.75,579.5783239455063,799.7319430586576,683.8162782695564,-115.91566478910124,SEARCH,,coverage_next,False,True
EXPECTED_CLEARABLE_LOCALIZE,321108,3,3,208.3778132003165,1181.7693036146495,634.7328631000722,585.7782199888575,-919.2533317427735,771.3451316238474,23.717082461262844,19.4297873540214,19.75,1097.8184940264546,2306.069447722598,2090.300482111109,-215.76896561148897,SEARCH,,coverage_next,False,True
CLEAR,321108,3,5,208.3778132003165,1181.7693036146495,1062.5,151.78571428571428,-919.2533317427735,771.3451316238474,18.38505383319108,,19.75,2214.397868344513,2533.1800557800116,2090.300482111109,-442.8795736689026,SEARCH,,coverage_next,False,True
CLEAR,321108,4,5,-919.2533317427735,771.3451316238474,1062.5,151.78571428571428,-1127.63114494309,-410.4241719908024,18.38505383319108,,19.75,3137.483036342969,2244.1660606064133,1616.6694533378193,-627.4966072685941,SEARCH,,coverage_next,False,True
CLEAR,321108,5,5,-1127.63114494309,-410.4241719908024,1062.5,151.78571428571428,-208.37781320031743,-1181.7693036146495,18.38505383319108,,19.75,2903.28538976606,1863.2489370277717,1282.59185907456,-580.6570779532117,LOCALIZE,7,mec_center,False,False
EXPECTED_CLEARABLE_LOCALIZE,321108,5,11,-1127.63114494309,-410.4241719908024,-447.5,69.92857142857143,-208.37781320031743,-1181.7693036146495,23.717082461262844,16.862189588153893,19.75,906.9906113919949,1460.195248159157,1282.59185907456,-177.60338908459698,LOCALIZE,7,mec_center,False,False
EXPECTED_CLEARABLE_LOCALIZE,321108,5,17,-1127.63114494309,-410.4241719908024,-747.9166666666667,-102.08333333333331,-208.37781320031743,-1181.7693036146495,23.110480081033224,19.60826054235495,19.75,496.12883162312323,1377.1199485862192,1282.59185907456,-94.52808951165912,LOCALIZE,7,mec_center,False,False
CLEAR,321108,6,5,-663.5267857142857,-1000.297619047619,1062.5,151.78571428571428,-208.37781320031743,-1181.7693036146495,18.38505383319108,,19.75,3427.3551908959444,1682.9587651974714,997.4877270182824,-685.471038179189,SEARCH,,coverage_next,False,True
CLEAR,321108,7,5,-208.37781320031743,-1181.7693036146495,1062.5,151.78571428571428,919.2533317427733,-771.3451316238475,18.38505383319108,,19.75,1576.3241988658528,971.2332612168,655.9684214436294,-315.2648397731706,SEARCH,,coverage_next,False,True
CLEAR,321108,7,19,-208.37781320031743,-1181.7693036146495,-110.0,-1157.5,919.2533317427733,-771.3451316238475,16.770509841248423,,19.75,0.635124999355412,656.0954464435005,655.9684214436294,-0.1270249998710824,SEARCH,,coverage_next,True,True
EXPECTED_CLEARABLE_LOCALIZE,321109,3,5,410.42417199080177,-1127.6311449430902,670.0,-385.0,-771.3451316238474,-919.2533317427735,22.3606797849979,18.43761368161158,19.75,1123.8631779128825,2757.2171081153347,2537.0221812983577,-220.19492681697693,LOCALIZE,9,mec_center,False,False
CLEAR,321109,5,9,-771.3451316238474,-919.2533317427735,-430.0,-1130.0,-1181.7693036146495,208.37781320031684,15.811388310841897,,19.75,736.2226290511614,2146.4074804027937,1999.1629545925614,-147.2445258102323,SEARCH,,coverage_next,False,True
CLEAR,321109,6,9,-1181.7693036146495,208.37781320031684,-430.0,-1130.0,-410.42417199080245,1127.63114494309,15.811388310841897,,19.75,2592.777008416659,1944.5552261217185,1425.999824438387,-518.5554016833316,LOCALIZE,19,mec_center,False,False
CLEAR,321109,6,17,-1181.7693036146495,208.37781320031684,-1389.7222222222222,-266.3888888888889,-410.42417199080245,1127.63114494309,17.0556460466764,,19.75,1021.9311467098546,1630.3860537803575,1425.999824438387,-204.38622934197065,LOCALIZE,19,mec_center,False,False
CLEAR,321109,7,9,-742.5,820.0,-430.0,-1130.0,-410.42417199080245,1127.63114494309,15.811388310841897,,19.75,3779.9260714855777,1900.4473685755086,1144.462154278393,-755.9852142971156,SEARCH,,coverage_next,False,True
EXPECTED_CLEARABLE_LOCALIZE,321109,7,10,-742.5,820.0,-322.93765684538624,504.3505237969762,-410.42417199080245,1127.63114494309,27.04163457597992,19.620023965476086,19.75,701.7595508444449,1280.4874029151254,1144.462154278393,-136.02524863673239,SEARCH,,coverage_next,False,True
CLEAR,321109,7,17,-742.5,820.0,-1389.7222222222222,-266.3888888888889,-410.42417199080245,1127.63114494309,17.0556460466764,,19.75,2515.517442771075,1647.5656428326079,1144.462154278393,-503.1034885542149,SEARCH,,coverage_next,False,True
CLEAR,321109,8,9,-410.42417199080245,1127.63114494309,-430.0,-1130.0,771.3451316238472,919.2533317427736,15.811388310841897,,19.75,3433.1463629497084,1334.7860511395697,648.1567785496281,-686.6292725899416,SEARCH,,coverage_next,False,True
EXPECTED_CLEARABLE_LOCALIZE,321109,8,10,-410.42417199080245,1127.63114494309,-322.8983113276964,505.38549016362253,771.3451316238472,919.2533317427736,23.116952471867933,18.133326264556256,19.75,598.2666765117765,764.1114014564845,648.1567785496281,-115.95462290685634,SEARCH,,coverage_next,False,True
CLEAR,321109,8,17,-410.42417199080245,1127.63114494309,-1389.7222222222222,-266.3888888888889,771.3451316238472,919.2533317427736,17.0556460466764,,19.75,2968.5648185804466,1241.8697422657174,648.1567785496281,-593.7129637160892,SEARCH,,coverage_next,False,True
