seed,channel,first_entry_route_point,first_entry_distance_m,route_point,clear_route_point,distance_to_true_source_m,current_x_m,current_y_m,next_coverage_x_m,next_coverage_y_m,channel_status,certificate_radius_m,bearing_count,possible_count,in_local_shortlist,candidate_kind,candidate_x_m,candidate_y_m,delta_route_m,route_reference,current_certificate_radius_m,candidate_expected_radius_m,clear_threshold_m,expected_clearable_after_measurement,chosen_kind,chosen_channel,chosen_x_m,chosen_y_m,chosen_source,chosen_moves_away,classification,b_reason,c_reason
321104,18,1,299.46446968938807,1,11,299.46446968938807,0.0,0.0,688.2917236212553,982.9824531467901,FOUND,753.7618162216924,1,2003,False,,,,,,753.7618162216924,,,,SEARCH,,688.2917236212553,982.9824531467901,coverage_next,True,B,outside_local_shortlist,
321104,6,4,237.1077031249986,4,29,237.1077031249986,-1195.4336377100947,104.58689129718984,-688.2917236212556,-982.9824531467899,FOUND,303.53129987872853,1,424,True,LOCALIZE,-1497.5,85.0,442.6278033329536,next_coverage,303.53129987872853,158.0157738020449,19.75,False,SEARCH,,-688.2917236212556,-982.9824531467899,coverage_next,True,C,,high_route_detour
321104,12,4,219.3579504184311,4,31,219.3579504184311,-1195.4336377100947,104.58689129718984,-688.2917236212556,-982.9824531467899,FOUND,32.59601203601324,3,31,True,LOCALIZE,-1048.2304473782992,232.5771644662754,262.7955102765761,next_coverage,32.59601203601324,25.98595891710716,19.75,False,SEARCH,,-688.2917236212556,-982.9824531467899,coverage_next,True,D,,
321105,19,4,156.12633533945493,4,33,156.12633533945493,-599.9999999999998,1039.2304845413264,-1200.0,1.4695761589768238e-13,FOUND,27.04163457597992,3,22,True,LOCALIZE,-680.0,917.5,0.27695942644754723,next_coverage,27.04163457597992,22.956402166546624,19.75,False,SEARCH,,-1200.0,1.4695761589768238e-13,coverage_next,True,D,,
321105,7,6,114.32586581643952,6,43,114.32586581643952,-600.0000000000006,-1039.2304845413262,600.0000000000001,-1039.2304845413264,FOUND,25.00000001,3,18,True,LOCALIZE,-690.2777777777778,-986.1111111111111,196.11684686273293,next_coverage,25.00000001,22.310316775412687,19.75,False,SEARCH,,600.0000000000001,-1039.2304845413264,coverage_next,True,D,,
321105,14,21,290.65102858251237,21,24,290.65102858251237,1187.5,912.5,,,FOUND,26.92582404567252,2,42,True,LOCALIZE,1005.0,1130.0,567.5336042454949,chosen_action_no_coverage,26.92582404567252,23.07951399908638,19.75,False,CLEAR,16,1197.5,905.0,mec_certificate,True,C,,high_route_detour
321106,12,2,246.29245177235134,2,12,246.29245177235134,615.0,432.5,771.3451316238472,919.2533317427736,FOUND,379.9753281564469,2,499,True,LOCALIZE,925.0,642.5,179.73412450185782,next_coverage,379.9753281564469,322.7668183356719,19.75,False,SEARCH,,771.3451316238472,919.2533317427736,coverage_next,True,D,,
321106,7,3,275.57271972695617,4,15,132.70268042193374,627.5,897.5,-410.42417199080245,1127.63114494309,FOUND,36.9120576605835,2,41,True,LOCALIZE,492.5,837.5,32.99454423017187,next_coverage,36.9120576605835,27.751961382237866,19.75,False,SEARCH,,-410.42417199080245,1127.63114494309,coverage_next,True,D,,
321106,13,3,46.469686512511345,4,13,99.03652722016007,627.5,897.5,-410.42417199080245,1127.63114494309,FOUND,74.03546448480422,2,45,True,LOCALIZE,702.5,910.0,146.90712943321114,next_coverage,74.03546448480422,28.478482141317986,19.75,False,SEARCH,,-410.42417199080245,1127.63114494309,coverage_next,True,D,,
321106,3,6,224.54565979625747,6,55,224.54565979625747,-1181.7693036146495,208.37781320031684,-771.3451316238474,-919.2533317427735,FOUND,26.92582404567252,2,29,True,LOCALIZE,-1225.0,-5.0,38.331466008490224,next_coverage,26.92582404567252,23.637503079940867,19.75,False,SEARCH,,-771.3451316238474,-919.2533317427735,coverage_next,True,D,,
321106,15,6,277.8991972798896,6,58,277.8991972798896,-1181.7693036146495,208.37781320031684,-771.3451316238474,-919.2533317427735,FOUND,28.284271257461903,2,30,True,LOCALIZE,-1046.1895053516685,-8.8378777456014,7.052960907552915,next_coverage,28.284271257461903,23.02472822686499,19.75,False,SEARCH,,-771.3451316238474,-919.2533317427735,coverage_next,True,D,,
321106,18,6,210.99726402558716,6,53,210.99726402558716,-1181.7693036146495,208.37781320031684,-771.3451316238474,-919.2533317427735,FOUND,405.84787791501014,1,682,True,LOCALIZE,-1362.5,572.5,811.1236180615376,next_coverage,405.84787791501014,238.86640924456364,19.75,False,SEARCH,,-771.3451316238474,-919.2533317427735,coverage_next,True,C,,high_route_detour
321106,8,8,152.2504469005009,8,64,152.2504469005009,410.42417199080177,-1127.6311449430902,1181.7693036146495,-208.37781320031647,FOUND,367.84847424905405,1,572,True,LOCALIZE,732.5,-1292.5,335.3474311736618,next_coverage,367.84847424905405,233.06697584407675,19.75,False,SEARCH,,1181.7693036146495,-208.37781320031647,coverage_next,True,C,,high_route_detour
321107,6,12,280.9714915157617,12,17,280.9714915157617,280.0,-265.0,,,FOUND,19.039432774659772,6,21,True,CLEAR,12.5,-332.5,501.22253317119134,chosen_action_no_coverage,19.039432774659772,,,,LOCALIZE,17,395.0,-27.5,mec_center,True,C,,high_route_detour
321108,15,1,227.40085676854363,1,24,227.40085676854363,0.0,0.0,1127.63114494309,410.42417199080245,FOUND,753.8111500999944,1,2003,False,,,,,,753.8111500999944,,,,SEARCH,,1127.63114494309,410.42417199080245,coverage_next,True,B,outside_local_shortlist,
321108,5,2,270.57726302718885,2,34,270.57726302718885,1127.63114494309,410.42417199080245,208.3778132003165,1181.7693036146495,FOUND,25.739075362467503,2,29,True,LOCALIZE,1067.5,157.5,396.84275905440586,next_coverage,25.739075362467503,22.227075736097326,19.75,False,SEARCH,,208.3778132003165,1181.7693036146495,coverage_next,True,C,,high_route_detour
321108,10,2,127.81023719932057,2,39,127.81023719932057,1127.63114494309,410.42417199080245,208.3778132003165,1181.7693036146495,FOUND,305.2253266131507,1,426,True,LOCALIZE,1412.5,507.5,481.00922019236714,next_coverage,305.2253266131507,170.82662294184215,19.75,False,SEARCH,,208.3778132003165,1181.7693036146495,coverage_next,True,C,,high_route_detour
321108,7,6,62.09495648908016,6,32,62.09495648908016,-663.5267857142857,-1000.297619047619,-208.37781320031743,-1181.7693036146495,FOUND,100.77822186373186,2,69,True,LOCALIZE,-727.2826086956521,-936.8478260869565,173.75779045205763,next_coverage,100.77822186373186,74.44902110080764,19.75,False,SEARCH,,-208.37781320031743,-1181.7693036146495,coverage_next,True,D,,
321108,19,7,96.67887512945066,7,33,96.67887512945066,-208.37781320031743,-1181.7693036146495,919.2533317427733,-771.3451316238475,FOUND,16.770509841248423,3,11,True,CLEAR,-110.0,-1157.5,0.635124999355412,next_coverage,16.770509841248423,,,,SEARCH,,919.2533317427733,-771.3451316238475,coverage_next,True,D,,
321109,1,4,292.7002794236574,4,34,292.7002794236574,-337.6495016611296,-1112.5,-771.3451316238474,-919.2533317427735,FOUND,50.62114183829147,2,114,True,LOCALIZE,-567.5,-1307.5,265.12942669854897,next_coverage,50.62114183829147,37.618859798474915,19.75,False,SEARCH,,-771.3451316238474,-919.2533317427735,coverage_next,True,D,,
321109,9,4,99.64893359214396,4,32,99.64893359214396,-337.6495016611296,-1112.5,-771.3451316238474,-919.2533317427735,FOUND,78.93826702923471,2,51,True,LOCALIZE,-412.5,-1126.421568627451,15.686063475191133,next_coverage,78.93826702923471,65.567382173944,19.75,False,SEARCH,,-771.3451316238474,-919.2533317427735,coverage_next,True,D,,
321109,13,4,180.1582885980699,4,31,180.1582885980699,-337.6495016611296,-1112.5,-771.3451316238474,-919.2533317427735,FOUND,40.31128875149275,2,87,True,LOCALIZE,-525.8155948031232,-1115.0,27.390281924441695,next_coverage,40.31128875149275,31.52763399132366,19.75,False,SEARCH,,-771.3451316238474,-919.2533317427735,coverage_next,True,D,,
321109,19,7,187.012960248865,8,24,284.70958637044055,-410.42417199080245,1127.63114494309,771.3451316238472,919.2533317427736,FOUND,26.575364541836624,3,17,True,LOCALIZE,-656.858541225631,990.641458774369,511.93719049530523,next_coverage,26.575364541836624,25.053866806304796,19.75,False,SEARCH,,771.3451316238472,919.2533317427736,coverage_next,True,C,,high_route_detour
